Date ,series ,Open,HIGH ,LOW ,PREV. CLOSE ,ltp ,Price ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Helper
2-Jul-20,EQ,"1,390.00","1,444.45","1,386.00","1,384.95","1,411.00","1,412.95","1,423.72","2,059.50",735.35,555304,"790,596,934.65",19700,218
3-Jul-20,EQ,"1,422.80","1,444.00","1,413.60","1,412.95","1,421.20","1,420.35","1,429.77","2,059.50",735.35,319136,"456,289,542.00",11567,219
6-Jul-20,EQ,"1,431.00","1,461.70","1,425.05","1,420.35","1,441.75","1,436.25","1,446.99","2,059.50",735.35,328947,"475,983,878.10",16355,220
7-Jul-20,EQ,"1,445.00","1,577.00","1,441.00","1,436.25","1,512.35","1,512.75","1,535.25","2,059.50",735.35,2654471,"4,075,278,025.10",117120,221
8-Jul-20,EQ,"1,516.35","1,548.80","1,490.70","1,512.75","1,538.00","1,538.80","1,525.64","2,059.50",735.35,749173,"1,142,965,343.50",35732,222
9-Jul-20,EQ,"1,540.00","1,617.00","1,540.00","1,538.80","1,570.00","1,567.50","1,580.28","2,059.50",735.35,1328636,"2,099,617,945.20",55438,223
10-Jul-20,EQ,"1,565.80","1,598.70","1,547.20","1,567.50","1,594.00","1,592.90","1,579.63","2,059.50",735.35,533168,"842,208,056.05",24530,224
13-Jul-20,EQ,"1,594.45","1,632.00","1,578.50","1,592.90","1,593.65","1,587.00","1,608.29","2,059.50",735.35,638391,"1,026,716,684.00",24983,225
14-Jul-20,EQ,"1,583.50","1,616.00","1,534.95","1,587.00","1,545.00","1,541.95","1,576.70","2,059.50",735.35,442787,"698,141,790.90",18904,226
15-Jul-20,EQ,"1,558.55","1,696.10","1,558.50","1,541.95","1,696.10","1,688.25","1,650.07","2,059.50",735.35,2087733,"3,444,912,956.65",68545,227
16-Jul-20,EQ,"1,710.70","1,760.00","1,621.10","1,688.25","1,646.00","1,652.75","1,683.37","2,059.50",735.35,1638194,"2,757,681,392.35",70714,228
17-Jul-20,EQ,"1,652.80","1,699.50","1,635.10","1,652.75","1,681.20","1,678.70","1,667.86","2,059.50",735.35,611274,"1,019,517,172.80",28254,229
20-Jul-20,EQ,"1,690.00","1,713.00","1,666.00","1,678.70","1,697.80","1,692.30","1,687.89","2,059.50",735.35,285365,"481,663,333.05",13579,230
21-Jul-20,EQ,"1,720.00","1,724.00","1,660.25","1,692.30","1,667.00","1,668.25","1,683.04","2,059.50",735.35,338345,"569,448,278.90",16080,231
22-Jul-20,EQ,"1,674.00","1,678.20","1,632.75","1,668.25","1,654.90","1,647.30","1,653.44","2,059.50",735.35,225606,"373,026,407.75",12278,232
23-Jul-20,EQ,"1,653.90","1,673.00","1,622.00","1,647.30","1,638.00","1,635.35","1,640.29","2,059.50",735.35,263689,"432,525,359.00",12782,233
24-Jul-20,EQ,"1,619.95","1,719.00","1,613.85","1,635.35","1,702.00","1,700.10","1,691.01","2,059.50",735.35,1191324,"2,014,540,856.20",46983,234
27-Jul-20,EQ,"1,710.00","1,802.95","1,693.80","1,700.10","1,766.25","1,769.55","1,762.14","2,059.50",735.35,1834311,"3,232,307,524.00",71804,235
28-Jul-20,EQ,"1,774.00","1,797.00","1,725.25","1,769.55","1,767.00","1,767.40","1,758.94","2,059.50",735.35,1077078,"1,894,520,124.75",44990,236
29-Jul-20,EQ,"1,811.00","1,894.25","1,772.55","1,767.40","1,858.10","1,862.85","1,852.22","2,059.50",735.35,2979732,"5,519,115,851.75",118177,237
30-Jul-20,EQ,"1,845.00","1,950.00","1,840.00","1,862.85","1,944.00","1,936.55","1,905.85","2,059.50",735.35,1366456,"2,604,259,434.40",54993,238
31-Jul-20,EQ,"1,932.00","1,969.00","1,886.90","1,936.55","1,930.00","1,926.20","1,931.93","2,059.50",735.35,1220905,"2,358,700,128.60",46539,239
3-Aug-20,EQ,"1,922.00","1,953.75","1,897.00","1,926.20","1,925.00","1,928.65","1,923.29","2,059.50",735.35,455332,"875,736,198.70",22229,240
4-Aug-20,EQ,"1,932.30","1,958.40","1,905.25","1,928.65","1,941.05","1,944.45","1,931.59","2,059.50",735.35,396028,"764,964,527.65",18212,241
5-Aug-20,EQ,"1,944.45","1,966.95","1,910.45","1,944.45","1,918.50","1,918.60","1,936.76","2,059.50",735.35,507874,"983,632,559.50",24961,242
6-Aug-20,EQ,"1,916.00","2,039.85","1,916.00","1,918.60","2,035.50","2,023.70","2,000.40","2,059.50",735.35,2105728,"4,212,298,502.90",83970,243
7-Aug-20,EQ,"2,020.00","2,036.60","1,971.15","2,023.70","1,988.00","1,988.85","1,994.73","2,059.50",735.35,805159,"1,606,071,307.10",44096,244
10-Aug-20,EQ,"1,995.00","2,017.10","1,980.00","1,988.85","1,984.45","1,989.15","1,997.07","2,059.50",735.35,278255,"555,695,493.60",12948,245
11-Aug-20,EQ,"2,000.00","2,079.00","1,964.05","1,989.15","1,975.95","1,977.80","2,031.02","2,079.00",735.35,1278515,"2,596,683,666.75",58901,246
12-Aug-20,EQ,"1,975.00","2,018.90","1,941.65","1,977.80","2,002.00","2,001.95","1,980.09","2,079.00",735.35,601923,"1,191,861,996.60",27449,247
13-Aug-20,EQ,"2,003.00","2,044.50","1,981.50","2,001.95","1,992.00","1,988.35","2,012.11","2,079.00",735.35,478535,"962,863,993.50",21367,248
14-Aug-20,EQ,"1,999.00","2,030.00","1,968.00","1,988.35","1,975.00","1,976.10","2,001.25","2,079.00",735.35,338524,"677,472,279.45",16494,249
17-Aug-20,EQ,"1,994.25","2,049.00","1,978.30","1,976.10","1,996.00","1,995.45","2,018.79","2,079.00",735.35,798426,"1,611,855,235.25",36114,250
18-Aug-20,EQ,"2,001.00","2,028.00","1,989.00","1,995.45","2,016.00","2,011.50","2,011.29","2,079.00",735.35,324744,"653,155,507.00",13083,251
19-Aug-20,EQ,"2,016.90","2,049.30","2,004.45","2,011.50","2,013.80","2,017.45","2,025.09","2,079.00",735.35,403938,"818,012,506.20",18419,252
20-Aug-20,EQ,"2,000.00","2,028.00","1,990.45","2,017.45","2,000.00","2,002.50","2,011.07","2,079.00",735.35,102303,"205,738,112.65",6617,253
21-Aug-20,EQ,"2,009.95","2,019.40","1,974.15","2,002.50","1,986.00","1,984.60","2,001.23","2,079.00",735.35,126598,"253,352,088.80",6214,254
24-Aug-20,EQ,"1,988.00","2,000.00","1,945.40","1,984.60","1,957.00","1,955.45","1,965.86","2,079.00",735.35,140538,"276,277,970.15",8461,255
25-Aug-20,EQ,"1,958.00","1,973.25","1,931.60","1,955.45","1,937.65","1,943.55","1,953.12","2,079.00",735.35,113506,"221,690,811.95",9262,256
26-Aug-20,EQ,"1,950.00","1,958.60","1,920.15","1,943.55","1,952.95","1,950.10","1,941.31","2,079.00",735.35,102513,"199,009,562.00",5538,257
27-Aug-20,EQ,"1,970.00","1,975.00","1,934.00","1,950.10","1,948.00","1,940.15","1,949.36","2,079.00",735.35,149884,"292,177,360.20",9540,258
28-Aug-20,EQ,"1,945.20","2,024.45","1,945.20","1,940.15","2,007.00","2,001.45","1,972.92","2,079.00",735.35,156148,"308,067,311.20",11343,259
